,Title,Title_link,Comments,CommentsTime,CommentsLike,TransferedTime,Sentiment
0,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Words cannot express how happy this makes me.,1 week ago,1.2K,13,pos
1,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,I have high hopes that this will not disappoint us. The decade-long wait will be worth it.,1 week ago,1.1K,13,pos
2,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,2019 Jesse Eisenberg looks same as 2009 Jesse Eisenberg.😯,1 week ago,548,13,pos
3,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,I love that they pointed out that the 4 leads are Oscar nominated/winners like it was a trailer for some arthouse film lol,1 week ago,388,13,pos
4,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"When you get a notification of the Zombieland 2 trailer
Rule #1: Cardio",1 week ago,454,13,neg
5,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Omg yesss it's finally here! The Twinkies 😂,1 week ago,383,13,pos
6,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,i was just watching zombie land 3 hours ago,1 week ago,316,13,neg
7,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,Jesse Eisenberg just decided not to age...boss move,1 week ago,282,13,neg
8,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"Don't let them catch you with your pants down.
           ""Sir Columbus""",1 week ago (edited),114,13,neg
9,Zombieland: Double Tap Trailer #1 (2019) | Movieclips Trailers,https://www.youtube.com/watch?v=YghZVENrn3Q&list=PLScC8g4bqD47QYmsgs_FBzcNvi3PPt2Ev&index=3&t=0s,"I'm a simple man.
I see Emma stone..
I Immediately like it.",1 week ago,125,13,pos
